?色	文本名	代?	重量	部分	作者	?建日期	批注	文本?	?域	覆?率 %	起?	??
●	uid13-new-ys	受測者使用通訊軟體的習慣\基本上回覆快	0	"UID13 逐字稿

Ｑ想要先詢問您平常的回覆訊息的習慣 ？
A其實我很討厭看到那個紅點點存在，所以我會很想要讓他消失

Ｑ所以會想要讓他消失？ 
A 這是一種，另外一種是會覺得好像在解決問題。我想要把那一件事情都解決掉。 
A 人家來問你他一定是有問題，不論是工作或是個人事情， 我就會想要把那個東西解決掉 那對我來說是一種達成的感覺。相對的我也會一直分心去處理聊天軟體上面的東西 。

Ｑ通常回覆的速度？ 
A 蠻快的。除非是遇到一些比較對方是一個需要仔細回覆， 例如老闆。 那我就必須要字字斟酌的去回答。 

A 那當然朋友的話我就可以隨便回答一些嘻嘻哈哈的回覆，打錯字也沒有關係。
 
A 需要認真回話，或是有很多問題需要回一大串的時候，我就會先打好在我的筆記本上再貼過去。 會花比較久時間回覆的訊息不會馬上回，但是我會放下手邊的工作先去處理。 我覺得很像to-do list劃掉代辦事項的感覺 

Ｑ草稿好的東西，你會先去已讀他嗎？ 
A不一定

Ｑ有什麼會影響已讀這件事情？ 
A比如說我工作的時候，別人就說圖好了嗎？我就想說死定了，還沒有做好，那我就會利用還沒有已讀的時間爸還沒有做好的工作做好再丟給他訊息給我的人會剛好已讀然後丟東西給他 
因為想要製造效率還不錯，製造剛才在忙沒有看到的假象 。

Ｑ 想請問對於家人回覆訊息的行為模式通常是怎樣呢 ？ 
A 我應該是提供我媽和我妹吧，我媽的話他通常都是一些很廢的訊息，比如說上班要多喝水啊、你今天吃了嗎或要不要幫你買晚餐。就是一些很廢的內容。但是我會馬上已讀他，跟他說知道了， 我會想要敷衍他。

A 可是有時候又很重要， 因為他有時候問我要不要幫買晚餐， 那那時候就一定要回覆他，要不然我就沒有晚餐可以吃了。我都會秒回，因為我會想要趕快把它解決掉 。

Ｑ 因為你剛才說你會避免已讀，那像媽媽的話也會想要避免已讀嗎？ 
A 媽媽傳的訊息都比較廢， 像是你今天晚餐的有煮飯喔、記得關電燈抽風機、記得吃藥、白天吃好代謝、眼睛累了要休息喔、走路要看路口渴要補充水份喔。
A 不用避免已讀，看到就會已讀。如果不立即回覆他就會一直說大姐、大姐、大姐， 一直逼我 回覆。所以我一定會很快就會回他，要不然媽媽會擔心。

Ｑ那想問一下妹妹的部分？ 和媽媽傳訊息的方式類似嗎？還是會不一樣？
A我妹都是一些問題，因為他是會計相關，所以他對於一些軟體操作不熟悉會問我。我通常都會很快回，因為他一定是軟體操作不會才會問我 。他找我一定是因為他找不到那個功能在哪，或是有一些軟體的問題。比較少的是丟貓的照片給我看，那那時候我就不會回他。就看了就看了。那這邊也不會有避免已讀的問題。

Ｑ為什麼 媽媽給你的訊息的干擾訊息比妹妹來得高？
A因為媽媽覺得你冷，媽媽覺得你餓...不算是乾擾...但是關心！干擾但關心。 

Ｑ比較有趣的是我們有討論到說如果今天你當下沒辦法回你必須要晚點回覆， 你會告知對方你會晚點嗎？
A因為我媽傳的訊息都很廢，我就是不會。如果是那一種真的要幫忙他什麼東西的話，我就會跟他說，喔我等等幫你看。例如說媽媽請他幫他看訊息軟體怪怪的Ｍ如果我在忙我就會跟他說我中午幫你看，或是我回家幫你看 。

Ｑ針對家人的內容你覺得他們有什麼特性嗎？還是他們非常的不一樣？
A 我覺得不太一樣的溝通模式，我媽傳訊息我一定要讀要，不然他會一直傳訊息給我。我和我媽和我妹比較親近。我爸和我弟就沒有什麼再聯繫，比較常是用講話的方式，也不會比較不親近就是習慣用講話的。
A 我今天還是有和我爸聊天，我問他車險到期了沒。 會聊一些和跟他有關的事，像車子的事情，或是我和他有關連的事情。 比如說像他會幫我保車子的保險啊或是保養啊。 我弟弟的話沒有很常跟他聊天，因為我弟比較沉默寡言 

Ｑ就朋友而言你覺得有習慣的溝通方式嗎？ 點頭之交呢？
A 丁丁和Duke都是在社交場合認識的點頭之交。但是因為他們會想要來問我最近有沒有缺可以介紹或是今天可不可以借場地給他們。我有時候就會覺得比較煩一點。其中有一個他自己想要創業，所以他就一直希望有資金可以挹注他Ｍ所以他就一直希望我幫他提案給老闆。然後我就會跟他說，老闆不會見你因為他太忙了。或是他可能一直想要進我們公司，想問有沒有機會，或是可不可以幫忙，我覺得他能力不夠會拒絕他，所以我就會比較常不讀不回 。就很不熟又一直想要跟你談關係。

Ｑ那你最後還是會回？ 
A 但是他比較喜歡直接打電話來，因為他覺得這樣講比較快。

Ｑ那你會直接接嗎？
A 我就會跟他說你在什麼時間點打來，我想要有一個空閒時間處理他。他們兩個都很奇怪，他們都喜歡打電話或建群組。拉我拿到莫名其妙的群組，可是我覺得跟他沒有那麼熟 。

Ｑ比較熟的朋友 會有比較不同的處理或是回覆的方式嗎？
A 姚娟是我高中同學，是認識最久的朋友。他有事情都是想要約我們出去，或是有事情要宣布，像是她今天才跟我說他懷孕3個月之類的。或是他有一些問題，因為他是業務他找我的話可能是想要我幫他推薦保單。那因為我們認識很久了，我就會很熱心的幫他推薦保單。像他今天問我有要不要保車險。我就馬上問我爸說車險到期了嗎。會馬上幫他處理掉他想要處理的事情。

Ｑ那他通常聯繫你這種車險的問題比例多嗎？
A 比例不多，反正都是在聊比如說他生活上的事情和他的煩惱。

Ｑ通常你回覆的速度呢？
A 也是蠻快的，他要找我原因通常有兩個，一個是想要找我出去，或就是有問題。有問題比較多啦 因為我們也沒有說很常見面，但就是說很熟，所以也不用一直常見面。

Ｑ其他沒有那麼熟的朋友回復模式？ 
A 溫私爹是公司前輩，但他通常找我也是軟體操作遇到問題。像是他找不到什麼功能，然後他問 我怎麼辦，可能我和他不同公司後，他軟體有問題我沒辦法直接幫他解決，他就只能以LINE通訊軟體聯絡我。他當下就會遇到困難，有時候我沒辦法直接回覆他，像是我會錄影教他怎麼做、截圖教他一步一步怎麼做，那個通常會花我一段時間。我知道他會很急，我就會跟他說 「你等我一下我會幫你準備你要的東西。」 

Ｑ那剩下幾位像是Gwynne、怡霖、番茄、企鵝、Tom這幾位你覺得他是類似的模式嗎？
Ａ我一個一個講好了，番茄她找我一錠都是抱怨居多

Ｑ那這樣會回覆嗎
Ａ也會回蠻快的因為我知道他是很需要被鼓勵的人勳要人馬上去安撫他，不一定會很快回，我們常聊天聊一聊然後就突然斷，我就知道他是情緒消化完了。

Ｑ所以你也不會特別終結這個聊天話題囉？
Ａ不會耶，但也可以隨時開始話題

Ｑ那前面幾位你會特別終結嗎
Ａ不會耶，我覺得看我和那個人相處有關，像我跟Gwynne啊，我們兩個都是比較跳的人常會聊ＡＡＡ再跳ＢＢＢ但我們都還是知道對方在說什麼，我覺得跟我們的相處模式有關。

Ｑ那跟前面講到的鄭瑤鵑之類的有關嗎？
Ａ他們就不會去聊那麼複雜的問題

Ｑ那其他人呢？
ＡTom的話有兩種，一種是很廢的訊息像貓的訊息，我就不回

Ｑ那這樣已讀的速度呢？
Ａ就普通

Ｑ普通的速度是？
Ａ如果他傳很廢的東西通常都是在IG上，正式的話是在FB跟Line，所以IG的話我就不太會去理，有時間才看，如果是LIne就會聊生活或工作比較多

Ｑ那如果他傳的是生活或工作會影響到你回覆或是看的速度嗎？
Ａ對，會偷偷預覽他的內容

Ｑ哦所以你平常是會偷偷預覽的嗎
Ａ對啊就會偷偷去看一下，因為有時候會關閉狀態，可是剛剛訊息來的時候沒看到我就會去看推播，但不一定，也是要看自己的狀態，有時候也不一定是偷看，可能就想專心走路所以稍微瞄一下而已

Ｑ那我想問Gwynne，你們通常都是聊一般的聊天話題嗎？
AGwynne的話通常是比如說他最近在找工作，或是講隔壁同事的壞話

Ｑ那這樣回覆的速度是
Ａ就有時候上班很厭世就想看一下，會偶爾陪他罵一下，雖然我可能不是那麼了解但還是會幫腔一下

Ｑ所以基本上如果是朋友有需要你基本上回復的速度是
Ａ就回復的蠻快的

Ｑ那基本上從你給我們的問卷上我們有發現很有趣的是你越親近的朋友，傳給你的訊息干擾度是越高的，為什麼會這樣啊？
Ａ也不是干擾度，你們怎麼定義干擾度啊？

Ｑ也不是說干擾程度很高，就只是我們發現和你特別親近度高的他的干擾程度也特別高
Ａ哦因為比如像我媽他干擾程度就很高，因為他訊息就很廢，我會覺得很干擾但可能就是溫情的干擾這樣，就如果你媽都沒提醒你那是不是就有點沒有被關注到的感覺，哦我覺得他是有點，如果你覺得都沒有干擾度那是不是你就沒朋友的那種感覺，突然想到。

Ｑ好，這很有趣，那除了干擾以外，在所有朋友裡面你覺得訊息最重要的是YR，想問你跟他關係特別的地方？
Ａ我覺得他是我最欣賞的人！因為我覺得他很優秀現在在ＦＢ雖然我跟他是朋友但我會很尊敬他覺得不可以嘻嘻哈哈

Ｑ所以你們平常聊天的內容是什麼啊，會覺得比較重要嗎？
Ａ我看一下哦·······可是對於他我也會晚點回因為會覺得要想一下，跟他聊天就比叫偏專業上的東西，比如說工作上的東西

Ｑ剛提到說Tomato就比較偏向垃圾桶的角色，那這會影響到你回復他的意願嗎？
Ａ不會耶，我幾乎都會蠻快回的

Ｑ那你覺得他期待你回訊息的速度是
Ａ我覺得他會期待你很快我回因為他就是想趕快找個人抱怨，他就會有發生一件不開心的事就會馬上找一個人抱怨

Ｑ那除了tomato期待你很快回以外你有覺得誰也會期待你趕快回嗎
Ａ有一個叫陳杰，是我們公司的HR，我覺得他是性子很急的人，我跟他很好但他有時候就會一直催我，我就會緊張

Ｑ那你們通常會聊什麼啊
Ａ有公事比如問我招募的事情或是他的私事需要我幫忙決定東西的、問我要不要吃午餐，都是一些很急的東西，但如果超級吉他就直接打電話，他真的是我全世界認識最急性子的人

Ｑ好那像剛你講的兩個人都是你需要很快回覆的人，那針對這樣急性子的人你有什麼應對的策略嗎？
Ａ我覺得就是當作一班的對話沒有什麼特別的應對，因為就算他只是想到垃圾，我也不會覺得他是正事，所以讀也沒差
Ｑ那如果你已讀他們，你覺得他們會有什麼特別的反應嗎
Ａ陳杰可能就會一直「？？？？？？」，
Ａ但tomato就不會有什麼特別的反應，然後我就很討厭別人回我？？？我就會？？？？回去

Ｑ那除了這些比較快回，有誰是你會特別晚回的嗎？
ＡTiffany lu，因為他是公司的ＰＭ然後他也很急，我就很阿扎因為還沒用好然後就故意不讀

Ｑ那還有其他會特別晚回的嗎
Ａ有一個李昱慶，他是一個清大弟弟休學創業，他就很想要我幫他一些事情

Ｑ他會被歸類在丁丁、Duke那一類嗎？
Ａ不會，他想在清大推環保計畫，然後之前有參加一個計畫得到一些錢，然後之前跟他一起弄的夥伴就可能不想跟他一起創業就散了，我就覺得他一個人我就很想幫他，但他可能太年輕缺乏領導能力，我就會想給他一些意見，因為他有時候會太發散、很鬼打牆，會一直卡在同個問題裡，我有時候就覺得很煩所以就會晚點讀它，可是他還是人不錯我不會討厭他，我也不會受不了他但他就是會一直循環，所以我就會盡量不要那麼認真看待他講的事

Ｑ那這樣你覺得李昱慶會希望你多快回覆他
Ａ哦他都比較喜歡直接見面聊，所以大部分我們都直接約見面

Ｑ哦這樣的話你們平常聊回覆速度你覺得
Ａ普通，因為可能是一些沒結論的東西，我就沒那麼在意

Ｑ那像前面有提到的PM啊或是YR啊，你覺得他們會期待你多快回
ＡＰＭ當然是越快越好啊因為他也是比較急，ＹＲ的話我不會期待他回，他應該也不會期待我回，我跟他沒這麼常接觸，如果接觸應該就都是重要的事情

Ｑ那既然是重要的事情怎麼會不期待他快點回
Ａ哦我說是他不期待我回覆啊，因為通常都是我有事情請益他，所以他就不會期待我快點回吧

Q: 你覺得丁丁跟 Duke 會期待你多快回？ 
Ａ： 期待我很快回， 因為一定是有緊急的事情才會這樣 因為我現在是個被要求的人 

Ｑ 朋友另外一個比較有趣的事情 是我們剛在聊期不期待回覆這件事情 你在裡面會特別期待誰回覆你的訊息嗎 
Ａ 瑞吧 

Ｑ 你會期待鄭姚宣多快回覆你 
Ａ 要看我們談話內容都談些什麼 像前陣子我可能在 幫他找一些資料 我覺得要問他這些資料是符合他需求的 所以我就會希望他趕快回覆 如果不對的話趕快找別的給他 

Ｑ 那你剛剛提到的瑞呢 
Ａ 瑞是我的同事 然後一班我會丟他訊息 有一些不錯的人選 然後我期待他會跟我有一樣的反應 下午看到一些國內國外 不錯的設計 我就會跟他分享 但這個行為在我們共同群組裡面也會有 但我還是會單獨丟給他 這樣我就看到一個不錯的東西我覺得可以share給部門 給其他設計師 我就會期待他也說這個很棒耶 對所以我會有一點期待 因為我需要有一點同類的感覺（笑） 

Ｑ 想問你像是朋友或是社交方面 有沒有這種共同的特性 
Ａ 但是就是我剛剛跟你們說的這些 像是有時候會拖一下 我想要製造我速度很快的樣子啊
Ａ好像是媽媽就是要一定要讀 我覺得自己有一個固定的模式 
Ａ那我剛剛好沒有講到一個人 Lili 他是我的朋友 他就是一個很忙很忙的人 我也不期待他回訊息給我 他就是很忙可能過15天才回訊息給我 我就會覺得他是不是都是999＋（訊息量） 是不是 都不會看訊息 所以對他不期不待 但是如果我有事情我還是會丟他 反正他很久才會回我嗎 

Ｑ 我們想問一下有沒有哪些人會在特別的時段傳一些訊息 
Ａ 有 像是有一些朋友就會深夜閒聊 比如說tomato 湯六（？） 貴（？） 冰企鵝也會 就這幾個 

Ｑ 還有其他除了深夜時段的嗎 
Ａ 就有時候原本想說要睡了 啊不小心就超過時間（笑） 有時候聊一聊就聊到1點了 

Ｑ 通常都是誰開啟這個話題 
Ａ 我覺得好像是對方比較多耶 因為我好像比較不會晚上 除非是很急不然我不太會在晚上丟訊息給對方 因為晚上我會比較想要做自己想做的事情 比如說看影片啊 我通常不會 比如說你工作到一段落所以不太會去聊工作上的事情 除非像有些情況必須一定要當下馬上解決 像我之前就曾經發生過 和同事吵架然後我們就在討論要怎麼排解 就會講到很晚 被說像10點就講到很晚 要怎麼解決這件事情 就會持續到深夜 因為你就工作到一段落嗎所以你就不會受到工作的訊息 因為就下班了就明天再說 那晚上的話就是朋友時間 我就會覺得像是10點到7點就是工作 然後再晚一點就是那種心靈的分享（笑） 

Ｑ 那關於朋友你還有覺得比較有趣的地方嗎？ 
Ｑ 關於同事我們想問一下SAyu 
Ａ 他是我第一份工作的同事 我們就有一種很奇妙的關係他是女生啦 他其實他傳訊息也很廢 但是我跟他很頻繁的聊天 算是我最多那種會置頂的 朋友 可是他傳訊息很廢 比如說 因為我公司在小巨蛋附近 他就問我說 因為我在停車場比較熟 所以他就會問我說小巨蛋可不可以停車需不需要停到松山機場 或是士林大道地下街 我就說不用啊 因為我們公司底下就有一個 他是像是這種問題他就想要確定很多細節 他就會問我停車就問了半小時 就確定非常多細節 相識是不是這個路口多少錢 可是都是一些很廢的 可是我覺會比較仔細的去回答他 那是因為他很迷戀一些 沒心 日本的東西 他就會丟給我看 

Ｑ 這時候你會怎麼回他 
Ａ 其實我們兩個都會互相敷衍，我跟他就是那種可以互相敷衍 像是好喔哈哈 酷耶 就是那種超短的 但是我們知道他去吃回覆節奏就是這樣子，所以我就會這樣子回他 

Ｑ 去的是因為你說Sari他的訊息比較費， 但是好像在訊息產生的乾擾程度上， 但是跟剛剛你說媽媽的訊息帶來的干擾程度卻不一樣， 是為什麼會這樣， 因為都是很廢的訊息 
Ａ 就是不是那麼廢， 比如他問我停車的事情， 就不是這麼廢啊， 他是可以提供一些資訊的嗎
Ａ但是我媽媽的訊息是我沒辦法， 像是記得喝水喔， 這個我沒有辦法回答他， 所以我也只能跟他說好喔
Ａ那像Sara的話我就會跟他講一些比較有用的資訊， 就不一樣， 或是我會跟他講一些很廢的事情， 像是我買的音響摔下來， 就真的很無聊

Ｑ 那你覺得這跟剛剛你說Tom傳過來的訊息， 有什麼不一樣嗎， 因為他那邊你不想回但這邊會想回 
Ａ 因為Tom 那邊都是什麼水?的照片， 就是更費， 像是最近不是有流行一個貓吹笛子， 就是很廢的， 就會當消遣去看， 但是跟Sara的就是不太一樣 

Ｑ 那李維哲跟楊欣怡呢 
Ａ 他們兩個是社團組織， 你以為這就是常問我說， money你要不要來當講師， 可不可以借場地， 楊靜宜就會說money你可不可以幫我做一張圖， 就是那些有有求於我的， 但是我都會幫忙

Ｑ 那這時候你回覆的速度， 會發生跟PM同樣的問題嗎 
Ａ 我覺得普通耶 

Ｑ 所以不會刻意晚回 
Ａ 這樣是心儀我知道他敲我的時候都是一些比較急迫的需求， 所以我都會比較快回
Ａ 然後李維哲這就是來借場地， 然後借場地一般都還要很久嗎， 下次可能還要一個禮拜或是1個月， 所以就是沒有這麼急迫所以晚點看到也沒有關係， 因為他一定會提早跟我講
Ａ然後心儀他的需求可能就是發生在這禮拜， 他們兩個發生地點不太一樣， 然後心怡的話我就會傾向秒回 

Ｑ 那像這些有求於你的訊息，你覺得有哪些相同或是不一樣的習慣嗎 
Ａ 就比如說我剛剛講PM的例子， 就是看事情的難易度 

Ｑ 那事情的難易度會有什麼樣的差別 
Ａ 就比如說像是溫斯爹， 他一定是遇到困難， 這是他平常不會找我， 但是一早我就是什麼困難的事情， 就要我解釋給他聽， 像是被工程師電， 然後我就跟他解釋說不是那樣， 我就會把他排解一些公司上面的事情，但是一般這種事情我就要想一下 

Ｑ 那向溫斯跌跟你剛剛說的楊芯儀他們在有求於你的事情的難易度上有差嗎 
Ａ 有差 

Ｑ 那會影響到你回覆的方式和效率嗎 
Ａ 我想一下， 因為心儀好像都是在晚上的時候， 就是他有空的時候找我， 這是他好像不太會佔用到上班時間， 去問我一些事情， 他好像都是下班， 假日處理我的事情
Ａ那溫斯跌是他一定是在上班的時候就遇到這個情況， 所以都是在白天的時候找我 

Ｑ 那麻煩你再拿出你的手機看一下有沒有什麼聯絡人是我們剛剛沒有問到的 
Ａ 我剛剛其實有發現一個訊息， 我跟他從來沒有聊過天， 但他剛剛跟我揮手， 剛好訪談要開始了， 他也是ux designer， 他就問我說有沒有時間跟我聊天， 他想要跟我聊一些公事上面的事情， 但因為他跟我從來沒有聊過天， 然後我就跟他說等一下我有點忙， 然後他就說 take your time 

Q 所以一般相遇到這種陌生訊息你會？ 
Ａ 我還是會馬上回耶（笑） 他就真的是網友的那一種， 但我還是會好奇想要知道， 然後像LINE的話就是因為下班了，所以不會收到任何訊息干擾， iG也沒什麼靜悄悄的， 因為我是做通訊軟體的， 我來看一下我自己的通訊軟體有什麼東西， 就是他可以發紅包有時候很擾， 可是他可以發超多， 但就是一定要搶， 沒有搶到就只能看到別人搶到的， 在這就很擾民因為他就是會有通知 

Ｑ 但通常這樣你也不需要回覆 
Ａ 系統通知是不用回覆的， 這是我們最近做的功能， 就是他自己會消失這樣 
Ｑ skype是我前公司用的，但裡面會存在著一些舊群組， 那你不太會去看他， 因為裡面都是講一些很無聊的事情， 比如說像豬排加一感謝， 你就不太會去看， 因為群組很廢， 但還是會想要把那個紅點點消掉， 就只有通訊軟體會讓我覺得好煩喔不想要看到這些， 然後有些朋友就會問我說， 為什麼你的LINE好像廣告很多， 因為我就是一個喜歡看廣告的人"	Hank	2019/10/25 14:37:52		重複(ys)	7946	100.00	1	158
●	uid13-new-ys	通訊內容的特性\重要	0	A 可是有時候又很重要， 因為他有時候問我要不要幫買晚餐， 那那時候就一定要回覆他，要不然我就沒有晚餐可以吃了。我都會秒回，因為我會想要趕快把它解決掉 。	Hank	2019/8/10 21:27:26		重複(ys)	77	0.97	18	18
●	uid13-new-ys	通訊內容的特性\不重要	0	A 媽媽傳的訊息都比較廢， 像是你今天晚餐的有煮飯喔、記得關電燈抽風機、記得吃藥、白天吃好代謝、眼睛累了要休息喔、走路要看路口渴要補充水份喔。	Hank	2019/11/13 22:25:08		重複(ys)	71	0.89	20	20
●	uid13-new-ys	通訊內容的特性\不重要	0	A因為我媽傳的訊息都很廢，我就是不會。	Hank	2019/11/13 22:28:27		重複(ys)	19	0.24	27	27
●	uid13-new-ys	通訊內容的特性\不重要	0	Ａ哦因為比如像我媽他干擾程度就很高，因為他訊息就很廢，我會覺得很干擾但可能就是溫情的干擾這樣，就如果你媽都沒提醒你那是不是就有點沒有被關注到的感覺，哦我覺得他是有點，如果你覺得都沒有干擾度那是不是你就沒朋友的那種感覺，突然想到。	Hank	2019/8/10 21:39:21		重複(ys)	114	1.43	74	74
●	uid13-new-ys	通訊內容的特性\急迫	0	Ａ有公事比如問我招募的事情或是他的私事需要我幫忙決定東西的、問我要不要吃午餐，都是一些很急的東西，但如果超級吉他就直接打電話，他真的是我全世界認識最急性子的人	Hank	2019/8/10 21:40:09		重複(ys)	79	0.99	86	86
●	uid13-new-ys	聯絡人使用通訊軟體的態度\希望對方盡快回覆	0	Ａ有一個叫陳杰，是我們公司的HR，我覺得他是性子很急的人，我跟他很好但他有時候就會一直催我，我就會緊張	Hank	2019/8/10 21:40:32		重複(ys)	51	0.64	84	84
●	uid13-new-ys	聯絡人使用通訊軟體的態度\不在意對方是否盡快回覆	0	Ａ哦我說是他不期待我回覆啊，因為通常都是我有事情請益他，所以他就不會期待我快點回吧	Hank	2019/8/10 21:41:43		重複(ys)	41	0.52	105	105
●	uid13-new-ys	受測者使用通訊軟體的態度\希望對方盡快回覆	0	Ａ 瑞是我的同事 然後一班我會丟他訊息 有一些不錯的人選 然後我期待他會跟我有一樣的反應 下午看到一些國內國外 不錯的設計 我就會跟他分享 但這個行為在我們共同群組裡面也會有 但我還是會單獨丟給他 這樣我就看到一個不錯的東西我覺得可以share給部門 給其他設計師 我就會期待他也說這個很棒耶 對所以我會有一點期待 因為我需要有一點同類的感覺（笑） 	Hank	2019/8/10 21:43:16		重複(ys)	174	2.19	113	113
●	uid13-new-ys	通訊內容的特性\不重要	0	"Ａ 他是我第一份工作的同事 我們就有一種很奇妙的關係他是女生啦 他其實他傳訊息也很廢 但是我跟他很頻繁的聊天 算是我最多那種會置頂的 朋友 可是他傳訊息很廢 比如說 因為我公司在小巨蛋附近 他就問我說 因為我在停車場比較熟 所以他就會問我說小巨蛋可不可以停車需不需要停到松山機場 或是士林大道地下街 我就說不用啊 因為我們公司底下就有一個 他是像是這種問題他就想要確定很多細節 他就會問我停車就問了半小時 就確定非常多細節 相識是不是這個路口多少錢 可是都是一些很廢的 可是我覺會比較仔細的去回答他 那是因為他很迷戀一些 沒心 日本的東西 他就會丟給我看 

Ｑ 這時候你會怎麼回他 
Ａ 其實我們兩個都會互相敷衍，我跟他就是那種可以互相敷衍 像是好喔哈哈 酷耶 就是那種超短的 但是我們知道他去吃回覆節奏就是這樣子，所以我就會這樣子回他 "	Hank	2019/11/13 22:44:57		重複(ys)	369	4.64	126	128
